88879691 alakazam_second  punk=1 walked={'alakazam_second': 1}
89281610 alakazam_second  punk=1 walked={'alakazam_second': 44, 'other_second': 200, 'alakazam_first': 38}
89281833 alakazam_second  punk=3 walked={'alakazam_second': 45, 'other_second': 200, 'alakazam_first': 38}
89282968 alakazam_second  punk=1 walked={'alakazam_second': 46, 'other_second': 200, 'alakazam_first': 38}
89283459 alakazam_second  punk=2 walked={'alakazam_second': 47, 'other_second': 200, 'alakazam_first': 38}
89286150 alakazam_first   punk=2 walked={'alakazam_second': 47, 'other_second': 200, 'alakazam_first': 39}
89287553 alakazam_second  punk=1 walked={'alakazam_second': 48, 'other_second': 200, 'alakazam_first': 39}
89288129 alakazam_first   punk=2 walked={'alakazam_second': 48, 'other_second': 200, 'alakazam_first': 40}
89292092 alakazam_second  punk=0 walked={'alakazam_second': 49, 'other_second': 200, 'alakazam_first': 40}
89293967 alakazam_second  punk=2 walked={'alakazam_second': 50, 'other_second': 200, 'alakazam_first': 40}
89294463 alakazam_first   punk=2 walked={'alakazam_second': 50, 'other_second': 200, 'alakazam_first': 41}
89294624 alakazam_second  punk=3 walked={'alakazam_second': 51, 'other_second': 200, 'alakazam_first': 41}
89303669 alakazam_second  punk=0 walked={'alakazam_second': 52, 'other_second': 200, 'alakazam_first': 41}
89303843 alakazam_second  punk=2 walked={'alakazam_second': 53, 'other_second': 200, 'alakazam_first': 41}
89307252 alakazam_first   punk=2 walked={'alakazam_second': 53, 'other_second': 200, 'alakazam_first': 42}
89307931 alakazam_first   punk=2 walked={'alakazam_second': 53, 'other_second': 200, 'alakazam_first': 43}
89310465 alakazam_second  punk=1 walked={'alakazam_second': 54, 'other_second': 200, 'alakazam_first': 43}
89310609 alakazam_first   punk=1 walked={'alakazam_second': 54, 'other_second': 200, 'alakazam_first': 44}
89311505 alakazam_first   punk=1 walked={'alakazam_second': 54, 'other_second': 200, 'alakazam_first': 45}
89314012 alakazam_second  punk=3 walked={'alakazam_second': 55, 'other_second': 200, 'alakazam_first': 45}
89315270 alakazam_first   punk=2 walked={'alakazam_second': 55, 'other_second': 200, 'alakazam_first': 46}
89315315 alakazam_second  punk=1 walked={'alakazam_second': 56, 'other_second': 200, 'alakazam_first': 46}
89315839 alakazam_second  punk=2 walked={'alakazam_second': 57, 'other_second': 200, 'alakazam_first': 46}
89316372 alakazam_second  punk=2 walked={'alakazam_second': 58, 'other_second': 200, 'alakazam_first': 46}
89317024 alakazam_first   punk=1 walked={'alakazam_second': 58, 'other_second': 200, 'alakazam_first': 47}
89318642 alakazam_first   punk=2 walked={'alakazam_second': 58, 'other_second': 200, 'alakazam_first': 48}
89318984 alakazam_first   punk=1 walked={'alakazam_second': 58, 'other_second': 200, 'alakazam_first': 49}
89319553 alakazam_second  punk=2 walked={'alakazam_second': 59, 'other_second': 200, 'alakazam_first': 49}
89319699 alakazam_first   punk=2 walked={'alakazam_second': 59, 'other_second': 200, 'alakazam_first': 50}
89320237 alakazam_second  punk=2 walked={'alakazam_second': 60, 'other_second': 200, 'alakazam_first': 50}
89321637 alakazam_first   punk=2 walked={'alakazam_second': 60, 'other_second': 200, 'alakazam_first': 51}
89323219 alakazam_second  punk=2 walked={'alakazam_second': 61, 'other_second': 200, 'alakazam_first': 51}
89323274 alakazam_second  punk=2 walked={'alakazam_second': 62, 'other_second': 200, 'alakazam_first': 51}
89325959 alakazam_first   punk=1 walked={'alakazam_second': 62, 'other_second': 200, 'alakazam_first': 52}
89326078 alakazam_second  punk=1 walked={'alakazam_second': 63, 'other_second': 200, 'alakazam_first': 52}
89326100 alakazam_first   punk=2 walked={'alakazam_second': 63, 'other_second': 200, 'alakazam_first': 53}
89326416 alakazam_first   punk=2 walked={'alakazam_second': 63, 'other_second': 200, 'alakazam_first': 54}
89327033 alakazam_first   punk=1 walked={'alakazam_second': 63, 'other_second': 200, 'alakazam_first': 55}
89327561 alakazam_second  punk=2 walked={'alakazam_second': 64, 'other_second': 200, 'alakazam_first': 55}
89330685 alakazam_second  punk=2 walked={'alakazam_second': 65, 'other_second': 200, 'alakazam_first': 55}
89331303 alakazam_second  punk=1 walked={'alakazam_second': 66, 'other_second': 200, 'alakazam_first': 55}
89332247 alakazam_second  punk=1 walked={'alakazam_second': 67, 'other_second': 200, 'alakazam_first': 55}
89335510 alakazam_first   punk=2 walked={'alakazam_second': 67, 'other_second': 200, 'alakazam_first': 56}
89336053 alakazam_first   punk=2 walked={'alakazam_second': 67, 'other_second': 200, 'alakazam_first': 57}
89337094 alakazam_second  punk=1 walked={'alakazam_second': 68, 'other_second': 200, 'alakazam_first': 57}
89338490 alakazam_first   punk=2 walked={'alakazam_second': 68, 'other_second': 200, 'alakazam_first': 58}
89341313 alakazam_second  punk=2 walked={'alakazam_second': 69, 'other_second': 200, 'alakazam_first': 58}
89343776 alakazam_first   punk=2 walked={'alakazam_second': 69, 'other_second': 200, 'alakazam_first': 59}
89344386 alakazam_second  punk=2 walked={'alakazam_second': 70, 'other_second': 200, 'alakazam_first': 59}
89344845 alakazam_first   punk=1 walked={'alakazam_second': 70, 'other_second': 200, 'alakazam_first': 60}
89345405 alakazam_first   punk=2 walked={'alakazam_second': 70, 'other_second': 200, 'alakazam_first': 61}
89347491 alakazam_first   punk=2 walked={'alakazam_second': 70, 'other_second': 200, 'alakazam_first': 62}
89348017 alakazam_first   punk=2 walked={'alakazam_second': 70, 'other_second': 200, 'alakazam_first': 63}
89348018 alakazam_first   punk=0 walked={'alakazam_second': 70, 'other_second': 200, 'alakazam_first': 64}
89349108 alakazam_second  punk=2 walked={'alakazam_second': 71, 'other_second': 200, 'alakazam_first': 64}
89349771 alakazam_second  punk=3 walked={'alakazam_second': 72, 'other_second': 200, 'alakazam_first': 64}
89350725 alakazam_second  punk=2 walked={'alakazam_second': 73, 'other_second': 200, 'alakazam_first': 64}
89351325 alakazam_first   punk=3 walked={'alakazam_second': 73, 'other_second': 200, 'alakazam_first': 65}
89351702 alakazam_second  punk=3 walked={'alakazam_second': 74, 'other_second': 200, 'alakazam_first': 65}
89351968 alakazam_second  punk=1 walked={'alakazam_second': 75, 'other_second': 200, 'alakazam_first': 65}
89352975 alakazam_first   punk=3 walked={'alakazam_second': 75, 'other_second': 200, 'alakazam_first': 66}
89355439 alakazam_second  punk=1 walked={'alakazam_second': 76, 'other_second': 200, 'alakazam_first': 66}
89357180 alakazam_second  punk=1 walked={'alakazam_second': 77, 'other_second': 200, 'alakazam_first': 66}
89357185 alakazam_second  punk=2 walked={'alakazam_second': 78, 'other_second': 200, 'alakazam_first': 66}
89357785 alakazam_second  punk=1 walked={'alakazam_second': 79, 'other_second': 200, 'alakazam_first': 66}
89360395 alakazam_first   punk=1 walked={'alakazam_second': 79, 'other_second': 200, 'alakazam_first': 67}
89362526 alakazam_second  punk=1 walked={'alakazam_second': 80, 'other_second': 200, 'alakazam_first': 67}
89363052 alakazam_first   punk=2 walked={'alakazam_second': 80, 'other_second': 200, 'alakazam_first': 68}
89363888 alakazam_first   punk=1 walked={'alakazam_second': 80, 'other_second': 200, 'alakazam_first': 69}
89365196 alakazam_second  punk=2 walked={'alakazam_second': 81, 'other_second': 200, 'alakazam_first': 69}
89369685 alakazam_first   punk=2 walked={'alakazam_second': 81, 'other_second': 200, 'alakazam_first': 70}
89371340 alakazam_first   punk=1 walked={'alakazam_second': 81, 'other_second': 200, 'alakazam_first': 71}
89372407 alakazam_first   punk=2 walked={'alakazam_second': 81, 'other_second': 200, 'alakazam_first': 72}
89373425 alakazam_first   punk=1 walked={'alakazam_second': 81, 'other_second': 200, 'alakazam_first': 73}
89373956 alakazam_second  punk=2 walked={'alakazam_second': 82, 'other_second': 200, 'alakazam_first': 73}
89374559 alakazam_second  punk=2 walked={'alakazam_second': 83, 'other_second': 200, 'alakazam_first': 73}
89375884 alakazam_second  punk=1 walked={'alakazam_second': 84, 'other_second': 200, 'alakazam_first': 73}
89376151 alakazam_first   punk=3 walked={'alakazam_second': 84, 'other_second': 200, 'alakazam_first': 74}
89376677 alakazam_first   punk=2 walked={'alakazam_second': 84, 'other_second': 200, 'alakazam_first': 75}
89377950 alakazam_first   punk=2 walked={'alakazam_second': 84, 'other_second': 200, 'alakazam_first': 76}
89378796 alakazam_second  punk=2 walked={'alakazam_second': 85, 'other_second': 200, 'alakazam_first': 76}
89380354 alakazam_first   punk=2 walked={'alakazam_second': 85, 'other_second': 200, 'alakazam_first': 77}
89380945 alakazam_first   punk=1 walked={'alakazam_second': 85, 'other_second': 200, 'alakazam_first': 78}
89381163 alakazam_first   punk=2 walked={'alakazam_second': 85, 'other_second': 200, 'alakazam_first': 79}
89382738 alakazam_second  punk=3 walked={'alakazam_second': 86, 'other_second': 200, 'alakazam_first': 79}
89382996 alakazam_second  punk=1 walked={'alakazam_second': 87, 'other_second': 200, 'alakazam_first': 79}
89383587 alakazam_second  punk=1 walked={'alakazam_second': 88, 'other_second': 200, 'alakazam_first': 79}
89383790 alakazam_second  punk=1 walked={'alakazam_second': 89, 'other_second': 200, 'alakazam_first': 79}
89384599 alakazam_first   punk=1 walked={'alakazam_second': 89, 'other_second': 200, 'alakazam_first': 80}
89388442 alakazam_second  punk=2 walked={'alakazam_second': 90, 'other_second': 200, 'alakazam_first': 80}
89388943 alakazam_second  punk=1 walked={'alakazam_second': 91, 'other_second': 200, 'alakazam_first': 80}
89389527 alakazam_second  punk=2 walked={'alakazam_second': 92, 'other_second': 200, 'alakazam_first': 80}
89389535 alakazam_second  punk=1 walked={'alakazam_second': 93, 'other_second': 200, 'alakazam_first': 80}
89389934 alakazam_second  punk=2 walked={'alakazam_second': 94, 'other_second': 200, 'alakazam_first': 80}
89390298 alakazam_second  punk=1 walked={'alakazam_second': 95, 'other_second': 200, 'alakazam_first': 80}
89390426 alakazam_first   punk=2 walked={'alakazam_second': 95, 'other_second': 200, 'alakazam_first': 81}
89390532 alakazam_first   punk=2 walked={'alakazam_second': 95, 'other_second': 200, 'alakazam_first': 82}
89390614 alakazam_first   punk=2 walked={'alakazam_second': 95, 'other_second': 200, 'alakazam_first': 83}
89390671 alakazam_first   punk=2 walked={'alakazam_second': 95, 'other_second': 200, 'alakazam_first': 84}
89390822 alakazam_first   punk=1 walked={'alakazam_second': 95, 'other_second': 200, 'alakazam_first': 85}
89391175 alakazam_second  punk=2 walked={'alakazam_second': 96, 'other_second': 200, 'alakazam_first': 85}
89391185 alakazam_second  punk=2 walked={'alakazam_second': 97, 'other_second': 200, 'alakazam_first': 85}
89391353 alakazam_first   punk=1 walked={'alakazam_second': 97, 'other_second': 200, 'alakazam_first': 86}
89391560 alakazam_second  punk=1 walked={'alakazam_second': 98, 'other_second': 200, 'alakazam_first': 86}
89391874 alakazam_first   punk=2 walked={'alakazam_second': 98, 'other_second': 200, 'alakazam_first': 87}
89391930 alakazam_first   punk=2 walked={'alakazam_second': 98, 'other_second': 200, 'alakazam_first': 88}
89392075 alakazam_first   punk=3 walked={'alakazam_second': 98, 'other_second': 200, 'alakazam_first': 89}
89392093 alakazam_first   punk=1 walked={'alakazam_second': 98, 'other_second': 200, 'alakazam_first': 90}
89392180 alakazam_second  punk=2 walked={'alakazam_second': 99, 'other_second': 200, 'alakazam_first': 90}
89392569 alakazam_first   punk=2 walked={'alakazam_second': 99, 'other_second': 200, 'alakazam_first': 91}
89392594 alakazam_first   punk=2 walked={'alakazam_second': 99, 'other_second': 200, 'alakazam_first': 92}
89392927 alakazam_second  punk=2 walked={'alakazam_second': 100, 'other_second': 200, 'alakazam_first': 92}
89393580 alakazam_first   punk=2 walked={'alakazam_second': 100, 'other_second': 200, 'alakazam_first': 93}
89393643 alakazam_first   punk=1 walked={'alakazam_second': 100, 'other_second': 200, 'alakazam_first': 94}
89394129 alakazam_first   punk=1 walked={'alakazam_second': 100, 'other_second': 200, 'alakazam_first': 95}
89394711 alakazam_first   punk=2 walked={'alakazam_second': 100, 'other_second': 200, 'alakazam_first': 96}
89395388 alakazam_first   punk=1 walked={'alakazam_second': 100, 'other_second': 200, 'alakazam_first': 97}
89395754 alakazam_second  punk=2 walked={'alakazam_second': 101, 'other_second': 200, 'alakazam_first': 97}
89395797 alakazam_second  punk=2 walked={'alakazam_second': 102, 'other_second': 200, 'alakazam_first': 97}
89396093 alakazam_first   punk=2 walked={'alakazam_second': 102, 'other_second': 200, 'alakazam_first': 98}
89396259 alakazam_first   punk=2 walked={'alakazam_second': 102, 'other_second': 200, 'alakazam_first': 99}
89396274 alakazam_second  punk=1 walked={'alakazam_second': 103, 'other_second': 200, 'alakazam_first': 99}
89396276 alakazam_first   punk=2 walked={'alakazam_second': 103, 'other_second': 200, 'alakazam_first': 100}
89396774 alakazam_first   punk=2 walked={'alakazam_second': 103, 'other_second': 200, 'alakazam_first': 101}
89397328 alakazam_second  punk=2 walked={'alakazam_second': 104, 'other_second': 200, 'alakazam_first': 101}
89397896 alakazam_second  punk=2 walked={'alakazam_second': 105, 'other_second': 200, 'alakazam_first': 101}
89398386 alakazam_first   punk=1 walked={'alakazam_second': 105, 'other_second': 200, 'alakazam_first': 102}
89398432 alakazam_first   punk=1 walked={'alakazam_second': 105, 'other_second': 200, 'alakazam_first': 103}
89398777 alakazam_first   punk=2 walked={'alakazam_second': 105, 'other_second': 200, 'alakazam_first': 104}
89398938 alakazam_second  punk=1 walked={'alakazam_second': 106, 'other_second': 200, 'alakazam_first': 104}
89399406 alakazam_second  punk=3 walked={'alakazam_second': 107, 'other_second': 200, 'alakazam_first': 104}
89399428 alakazam_first   punk=3 walked={'alakazam_second': 107, 'other_second': 200, 'alakazam_first': 105}
89399470 alakazam_second  punk=2 walked={'alakazam_second': 108, 'other_second': 200, 'alakazam_first': 105}
89399476 alakazam_second  punk=1 walked={'alakazam_second': 109, 'other_second': 200, 'alakazam_first': 105}
89399836 alakazam_second  punk=1 walked={'alakazam_second': 110, 'other_second': 200, 'alakazam_first': 105}
89399990 alakazam_second  punk=2 walked={'alakazam_second': 111, 'other_second': 200, 'alakazam_first': 105}
89401039 alakazam_first   punk=2 walked={'alakazam_second': 111, 'other_second': 200, 'alakazam_first': 106}
89401553 alakazam_second  punk=2 walked={'alakazam_second': 112, 'other_second': 200, 'alakazam_first': 106}
89402101 alakazam_second  punk=1 walked={'alakazam_second': 113, 'other_second': 200, 'alakazam_first': 106}
89403158 alakazam_second  punk=3 walked={'alakazam_second': 114, 'other_second': 200, 'alakazam_first': 106}
89403661 alakazam_first   punk=1 walked={'alakazam_second': 114, 'other_second': 200, 'alakazam_first': 107}
89403741 alakazam_first   punk=1 walked={'alakazam_second': 114, 'other_second': 200, 'alakazam_first': 108}
89404182 alakazam_first   punk=3 walked={'alakazam_second': 114, 'other_second': 200, 'alakazam_first': 109}
89404733 alakazam_second  punk=1 walked={'alakazam_second': 115, 'other_second': 200, 'alakazam_first': 109}
89405048 alakazam_first   punk=2 walked={'alakazam_second': 115, 'other_second': 200, 'alakazam_first': 110}
89405242 alakazam_second  punk=2 walked={'alakazam_second': 116, 'other_second': 200, 'alakazam_first': 110}
89405254 alakazam_first   punk=2 walked={'alakazam_second': 116, 'other_second': 200, 'alakazam_first': 111}
89405326 alakazam_first   punk=2 walked={'alakazam_second': 116, 'other_second': 200, 'alakazam_first': 112}
89405569 alakazam_first   punk=1 walked={'alakazam_second': 116, 'other_second': 200, 'alakazam_first': 113}
89405893 alakazam_first   punk=2 walked={'alakazam_second': 116, 'other_second': 200, 'alakazam_first': 114}
89406096 alakazam_first   punk=1 walked={'alakazam_second': 116, 'other_second': 200, 'alakazam_first': 115}
89406287 alakazam_first   punk=1 walked={'alakazam_second': 116, 'other_second': 200, 'alakazam_first': 116}
89406351 alakazam_second  punk=1 walked={'alakazam_second': 117, 'other_second': 200, 'alakazam_first': 116}
89406624 alakazam_second  punk=1 walked={'alakazam_second': 118, 'other_second': 200, 'alakazam_first': 116}
89407440 alakazam_second  punk=1 walked={'alakazam_second': 119, 'other_second': 200, 'alakazam_first': 116}
89408356 alakazam_first   punk=2 walked={'alakazam_second': 119, 'other_second': 200, 'alakazam_first': 117}
89408744 alakazam_second  punk=1 walked={'alakazam_second': 120, 'other_second': 200, 'alakazam_first': 117}
89408927 alakazam_second  punk=2 walked={'alakazam_second': 121, 'other_second': 200, 'alakazam_first': 117}
89408950 alakazam_second  punk=2 walked={'alakazam_second': 122, 'other_second': 200, 'alakazam_first': 117}
89408978 alakazam_first   punk=1 walked={'alakazam_second': 122, 'other_second': 200, 'alakazam_first': 118}
89409268 alakazam_second  punk=2 walked={'alakazam_second': 123, 'other_second': 200, 'alakazam_first': 118}
89409989 alakazam_first   punk=2 walked={'alakazam_second': 123, 'other_second': 200, 'alakazam_first': 119}
89410156 alakazam_second  punk=2 walked={'alakazam_second': 124, 'other_second': 200, 'alakazam_first': 119}
89410517 alakazam_second  punk=1 walked={'alakazam_second': 125, 'other_second': 200, 'alakazam_first': 119}
89411387 alakazam_first   punk=1 walked={'alakazam_second': 125, 'other_second': 200, 'alakazam_first': 120}
89411537 alakazam_second  punk=1 walked={'alakazam_second': 126, 'other_second': 200, 'alakazam_first': 120}
89412588 alakazam_first   punk=3 walked={'alakazam_second': 126, 'other_second': 200, 'alakazam_first': 121}
89413147 alakazam_first   punk=1 walked={'alakazam_second': 126, 'other_second': 200, 'alakazam_first': 122}
89413161 alakazam_second  punk=1 walked={'alakazam_second': 127, 'other_second': 200, 'alakazam_first': 122}
89414211 alakazam_first   punk=3 walked={'alakazam_second': 127, 'other_second': 200, 'alakazam_first': 123}
89414214 alakazam_first   punk=2 walked={'alakazam_second': 127, 'other_second': 200, 'alakazam_first': 124}
89414232 alakazam_second  punk=1 walked={'alakazam_second': 128, 'other_second': 200, 'alakazam_first': 124}
89414285 alakazam_first   punk=2 walked={'alakazam_second': 128, 'other_second': 200, 'alakazam_first': 125}
89414599 alakazam_first   punk=3 walked={'alakazam_second': 128, 'other_second': 200, 'alakazam_first': 126}
89414738 alakazam_second  punk=0 walked={'alakazam_second': 129, 'other_second': 200, 'alakazam_first': 126}
89415163 alakazam_second  punk=1 walked={'alakazam_second': 130, 'other_second': 200, 'alakazam_first': 126}
89415934 alakazam_second  punk=2 walked={'alakazam_second': 131, 'other_second': 200, 'alakazam_first': 126}
89416204 alakazam_second  punk=2 walked={'alakazam_second': 132, 'other_second': 200, 'alakazam_first': 126}
89416462 alakazam_second  punk=3 walked={'alakazam_second': 133, 'other_second': 200, 'alakazam_first': 126}
89416750 alakazam_first   punk=2 walked={'alakazam_second': 133, 'other_second': 200, 'alakazam_first': 127}
89416877 alakazam_first   punk=1 walked={'alakazam_second': 133, 'other_second': 200, 'alakazam_first': 128}
89417440 alakazam_second  punk=1 walked={'alakazam_second': 134, 'other_second': 200, 'alakazam_first': 128}
89418508 alakazam_second  punk=2 walked={'alakazam_second': 135, 'other_second': 200, 'alakazam_first': 128}
89418554 alakazam_first   punk=1 walked={'alakazam_second': 135, 'other_second': 200, 'alakazam_first': 129}
89418562 alakazam_second  punk=1 walked={'alakazam_second': 136, 'other_second': 200, 'alakazam_first': 129}
89418638 alakazam_first   punk=1 walked={'alakazam_second': 136, 'other_second': 200, 'alakazam_first': 130}
89418673 alakazam_first   punk=1 walked={'alakazam_second': 136, 'other_second': 200, 'alakazam_first': 131}
89419098 alakazam_first   punk=2 walked={'alakazam_second': 136, 'other_second': 200, 'alakazam_first': 132}
89419123 alakazam_second  punk=2 walked={'alakazam_second': 137, 'other_second': 200, 'alakazam_first': 132}
89419129 alakazam_first   punk=1 walked={'alakazam_second': 137, 'other_second': 200, 'alakazam_first': 133}
89419585 alakazam_first   punk=2 walked={'alakazam_second': 137, 'other_second': 200, 'alakazam_first': 134}
89419612 alakazam_first   punk=2 walked={'alakazam_second': 137, 'other_second': 200, 'alakazam_first': 135}
89419637 alakazam_second  punk=2 walked={'alakazam_second': 138, 'other_second': 200, 'alakazam_first': 135}
89419952 alakazam_first   punk=2 walked={'alakazam_second': 138, 'other_second': 200, 'alakazam_first': 136}
89420674 alakazam_second  punk=2 walked={'alakazam_second': 139, 'other_second': 200, 'alakazam_first': 136}
89421226 alakazam_second  punk=1 walked={'alakazam_second': 140, 'other_second': 200, 'alakazam_first': 136}
89421336 alakazam_first   punk=2 walked={'alakazam_second': 140, 'other_second': 200, 'alakazam_first': 137}
89421792 alakazam_first   punk=3 walked={'alakazam_second': 140, 'other_second': 200, 'alakazam_first': 138}
89422314 alakazam_second  punk=2 walked={'alakazam_second': 141, 'other_second': 200, 'alakazam_first': 138}
89422843 alakazam_first   punk=1 walked={'alakazam_second': 141, 'other_second': 200, 'alakazam_first': 139}
89422848 alakazam_first   punk=1 walked={'alakazam_second': 141, 'other_second': 200, 'alakazam_first': 140}
89422862 alakazam_first   punk=2 walked={'alakazam_second': 141, 'other_second': 200, 'alakazam_first': 141}
89424500 alakazam_first   punk=2 walked={'alakazam_second': 141, 'other_second': 200, 'alakazam_first': 142}
89425545 alakazam_second  punk=2 walked={'alakazam_second': 142, 'other_second': 200, 'alakazam_first': 142}
89426346 alakazam_second  punk=1 walked={'alakazam_second': 143, 'other_second': 200, 'alakazam_first': 142}
89426619 alakazam_first   punk=1 walked={'alakazam_second': 143, 'other_second': 200, 'alakazam_first': 143}
89426890 alakazam_first   punk=2 walked={'alakazam_second': 143, 'other_second': 200, 'alakazam_first': 144}
89427174 alakazam_first   punk=2 walked={'alakazam_second': 143, 'other_second': 200, 'alakazam_first': 145}
89427753 alakazam_second  punk=2 walked={'alakazam_second': 144, 'other_second': 200, 'alakazam_first': 145}
89428235 alakazam_first   punk=2 walked={'alakazam_second': 144, 'other_second': 200, 'alakazam_first': 146}
89429324 alakazam_second  punk=2 walked={'alakazam_second': 145, 'other_second': 200, 'alakazam_first': 146}
89431466 alakazam_second  punk=2 walked={'alakazam_second': 146, 'other_second': 200, 'alakazam_first': 146}
89433636 alakazam_second  punk=2 walked={'alakazam_second': 147, 'other_second': 200, 'alakazam_first': 146}
89434172 alakazam_first   punk=1 walked={'alakazam_second': 147, 'other_second': 200, 'alakazam_first': 147}
89434177 alakazam_second  punk=2 walked={'alakazam_second': 148, 'other_second': 200, 'alakazam_first': 147}
89435778 alakazam_second  punk=2 walked={'alakazam_second': 149, 'other_second': 200, 'alakazam_first': 147}
89436298 alakazam_first   punk=2 walked={'alakazam_second': 149, 'other_second': 200, 'alakazam_first': 148}
89436615 alakazam_first   punk=1 walked={'alakazam_second': 149, 'other_second': 200, 'alakazam_first': 149}
89437365 alakazam_first   punk=2 walked={'alakazam_second': 149, 'other_second': 200, 'alakazam_first': 150}
89437370 alakazam_first   punk=2 walked={'alakazam_second': 149, 'other_second': 200, 'alakazam_first': 151}
89437917 alakazam_second  punk=1 walked={'alakazam_second': 150, 'other_second': 200, 'alakazam_first': 151}
89438445 alakazam_first   punk=1 walked={'alakazam_second': 150, 'other_second': 200, 'alakazam_first': 152}
89438989 alakazam_second  punk=1 walked={'alakazam_second': 151, 'other_second': 200, 'alakazam_first': 152}
89439006 alakazam_first   punk=1 walked={'alakazam_second': 151, 'other_second': 200, 'alakazam_first': 153}
89439529 alakazam_second  punk=3 walked={'alakazam_second': 152, 'other_second': 200, 'alakazam_first': 153}
89439599 alakazam_first   punk=1 walked={'alakazam_second': 152, 'other_second': 200, 'alakazam_first': 154}
89440059 alakazam_first   punk=1 walked={'alakazam_second': 152, 'other_second': 200, 'alakazam_first': 155}
89440095 alakazam_first   punk=2 walked={'alakazam_second': 152, 'other_second': 200, 'alakazam_first': 156}
89440426 alakazam_first   punk=2 walked={'alakazam_second': 152, 'other_second': 200, 'alakazam_first': 157}
89442738 alakazam_second  punk=2 walked={'alakazam_second': 153, 'other_second': 200, 'alakazam_first': 157}
89443033 alakazam_second  punk=2 walked={'alakazam_second': 154, 'other_second': 200, 'alakazam_first': 157}
89443265 alakazam_second  punk=1 walked={'alakazam_second': 155, 'other_second': 200, 'alakazam_first': 157}
89445951 alakazam_second  punk=2 walked={'alakazam_second': 156, 'other_second': 200, 'alakazam_first': 157}
89447054 alakazam_second  punk=2 walked={'alakazam_second': 157, 'other_second': 200, 'alakazam_first': 157}
89447056 alakazam_first   punk=2 walked={'alakazam_second': 157, 'other_second': 200, 'alakazam_first': 158}
89449741 alakazam_second  punk=2 walked={'alakazam_second': 158, 'other_second': 200, 'alakazam_first': 158}
89452461 alakazam_first   punk=1 walked={'alakazam_second': 158, 'other_second': 200, 'alakazam_first': 159}
89453514 alakazam_first   punk=2 walked={'alakazam_second': 158, 'other_second': 200, 'alakazam_first': 160}
89454056 alakazam_second  punk=2 walked={'alakazam_second': 159, 'other_second': 200, 'alakazam_first': 160}
89455684 alakazam_second  punk=1 walked={'alakazam_second': 160, 'other_second': 200, 'alakazam_first': 160}
89456837 alakazam_first   punk=1 walked={'alakazam_second': 160, 'other_second': 200, 'alakazam_first': 161}
89458970 alakazam_second  punk=2 walked={'alakazam_second': 161, 'other_second': 200, 'alakazam_first': 161}
89462035 alakazam_first   punk=2 walked={'alakazam_second': 161, 'other_second': 200, 'alakazam_first': 162}
89465182 alakazam_first   punk=3 walked={'alakazam_second': 161, 'other_second': 200, 'alakazam_first': 163}
89465800 alakazam_first   punk=1 walked={'alakazam_second': 161, 'other_second': 200, 'alakazam_first': 164}
90080961 alakazam_second  punk=2 walked={'alakazam_second': 162, 'other_second': 200, 'alakazam_first': 164}

cohort                      acts  offer  field     v8  v8-field  fieldAll   v8All   exact
alakazam_first               280   4.96   3.02   2.58     -0.44     0.546   0.261   0.354
alakazam_second              276   5.02   3.01   2.66     -0.36     0.543   0.272   0.438
alakazam_second_lost          80   5.10   2.92   2.71     -0.21     0.537   0.325   0.425
alakazam_second_won          196   4.99   3.05   2.63     -0.42     0.546   0.250   0.444
elite_alakazam_first          73   5.45   3.00   2.71     -0.29     0.370   0.164   0.343
elite_alakazam_second         78   5.04   2.73   2.58     -0.15     0.385   0.231   0.513
elite_other_second            40   4.47   2.85   2.73     -0.12     0.575   0.425   0.400
other_second                 370   4.91   2.70   2.75     +0.05     0.468   0.297   0.392
